  ,Description,Arche,Statue,Maison,Cadran,Dyson,Stèle,Temps particuliers,Sonnage particulier,Note indice,,émotion de base,Urgence
Le mort humain,Qui suis-je?/ Où suis-je ?/ Que m'est il arrivé ?,,1,2,,,3,,,écriture à la craie,Est juste perdu,supris,ne se rend pas compte
L'étoile,Je naquis dans des temps immémoriaux de ce que vous pensez être une immense explosion;/ J'éclaire et anime tout ce qui m'entoure; je vois naître mes premiers enfants gravitant autour de moi/ Puis dans dernier souffle; je me disperse et jusqu'à ce jour; vous avez de moi en vous.,,,,1,2,3,,,Thématique lumière,N'a pas la même notion du temps/ veut parler à ce qu'elle a créé,serain,ne se rend pas compte
Le cimetière,Je suis d'abord un lieu de prières./ On me voit malheureusement trop souvent comme une fin/ Mais je suis surtout le lien entre les vivants et les morts,3,,1,,,2,,,Sous de la terre/Sous une croix,Veut se justifier/ continuer de remplir la fonction qu'il aime,tristesse,faible
La grand mère ,Où êtes-vous mes petits-enfants ?; je n'arrive pas à vous voir.../ J'ai peur de ne pas vous avoir transmis tout mon savoir.../ Sonnez la cloche de ma dernière demeure pour que vos ancêtres vous restent en mémoire...,2,1,3,,2,,,,Morceau de lettre,Peur de la perte de lien avec ses petits enfants,peur,très forte
Les Hirondelles,Nos histoires commencent avec une coquille. Notre première demeure. La douceur et la chaleur nous ont toujours tenue compagnie jusqu'à ce que notre impatience de voir le monde nous la fasse quitter./ Arrive ensuite le grand saut dans l'inconnu... Les ailes déployées; domptant la résistance de l'air; transcendant les distances. Nous volons partout où le vent nous mène./ Le cycle doit se perpétuer continuellement. Les plus jeunes d'entre nous doivent ainsi faire ce voyage; inscrit dans leurs gènes; parcourant inlassablement la Terre; sans avoir jamais une fois douté.,3,,1,,2;3,,,,Dans un nid/ Sous une plume,Transmission de leurs traditions/ perturbée par la rupture du lien,Colère (org),forte (sans vouloir le faire paraitre)
La table,J'ai grandi avec mes semblables; de fiers bouleaux./ Lorsque j'ai rencontré pour la première fois ces bipèdes avec leur machine destructrice; j'ai cru que c'était la fin ... On m'a coupé; réduit; couché sur le sol./ Finalement; je me suis juste transformé; j'ai entamé ma deuxième vie aux côtés d'une petite bande d'humains./ Ma principale activité ? J'ai porté tout types de mets pendant des années; ceux qu'on partage; j'ai porté tout types de discussion de la chamaillerie enfantine aux réprimandes parentales; du deuil aux fêtes; cela me rappelle ce que j'avais avec mes frères... Ô lecteur; je t'en prie; fais moi vivre de nouveau.,4,3,,1,,2,,,écriture sur de l'écorce de bouleau,Veut vivre à nouveau/ lance une bouteille à la mer même si la communication est rompu,peur (soi),très forte
L'hiver,Pendant trois mois; la terre devient mon terrain de jeu avant d'être chassé par mon grand frère./ J'enveloppe le monde de mon manteau blanc et danse avec vous./ Je viens tous vous saluer; de l'enfant jouant dehors au vieillard dans son lit.. Je vous en prie; revenez jouer avec moi.,,3,,1,2,,,,Flocon de neige papier,Enfant qui veut continuer de jouer avec les Hommes; ne se rend pas compte de son côté dangereux,Joie,moyen
Le roi sans divertissement,De tous je suis le plus puissant et instruit de mes pairs.../ Mais à quoi bon ? Cela n'est rien face à la connaissance de ma propre condition de mortel.../ Qui viendra me sauver ? Dieu ?/ Un Homme ?/ Un esprit de la forêt ?.../  Non; ma seule issue fut une ultime balade; fumant; explosant mon humanité.,5,1;4;6,3;5,,1;2,2;6,,,Répartie dans les pages d'un livre,Orgueilleux/se fiche de la perte de lien/ Veut être compris,Colère,moyen
La divinité oubliée,Comment ai-je pu être effacé même de la dernière gravure ? oubliée ? ,,,,,,1,,,,,Dégout ?,
La musique,Mais au fond; je suis la pulsation qui fait battre le coeur des Hommes.,,1,,1,,,,,Écrit sur partition/instrument de musique,,Dégout ?,
