Nom,Description,Arche,Statue,Maison,Cadran,Dyson,Stele,Temps particuliers,Sonnage particulier,Note indice
Le mort humain,Qui suis-je?/ Ou vais-je ?/ Par où ?,3,1,2,,,,,,écriture à la craie
L'étoile,J'ai vécu des milliers d'années; plus brillante que jamais;/ vous m'observiez à travers votre lunette; cherchant à percer le moindre de mes mystères. Mais aujourd'hui je vous offrirais le plus beau des spectacles;/ je vous montrerais tout ce que peux faire une dernière fois avant de moi-même rendre mon dernier souffle.,,,,1,2,3,,,Thématique lumière
Le cimetière,La maison où les mor... / ...ts sont liés,3,,1,,,2,,,Sous de la terre/Sous une croix
La grand mère ,Faites beaucoup de bruit mes petits enfants; je n'arrive pas à vous voir.../ J'aimerais tant vous transmettre tous ce que je sais.../ Lorsque vous n'aurez plus besoin de moi sonnez la cloche de ma dernière demeure...,2,1,3,,2,,,,Morceau de lettre
L'Hirondelle,Mon histoire commence avec une coquille. Ma première demeure. La douceur et la chaleur m'ont toujours tenue compagnie jusqu'à ce que mon impatience de voir le monde me la fase quitter./ Arriva ensuite le grand saut dans l'inconnu... Je ressens encore mes ailes qui se déploient et la résistance de l'air qui lisse mes plumes. Les distances que j'imaginais depuis mon nids sont désormais transcendées.Je peux voler partout là ou je le souhaite./ Le cycle se perpétue continuellement. Il est bon de savoir que les plus jeunes d'entre nous ferons aussi ce voyage; inscrit dans leurs gènes; parcourant les frontières; sans avoir jamais une fois douté.,3,,1,,2;3,,,,Dans un nid/ Sous une plume
La table,J'ai grandi avec mes semblables; de fiers bouleaux./ Lorsque j'ai rencontré pour la première fois ces bipèdes avec leur machine destructrice; j'ai cru que c'était la fin ... On m'a coupé; réduit; ramené de là ou je m'étais élevée; couché sur le sol épineux./ Finalement; je me suis juste transformé; j'ai entammé ma deuxième vie aux cotés d'une petite bande d'humain./ Ma principale activité ? J'ai porté tous types de mets pendant des années; ceux qu'on partage; j'ai porté tous types de discussion de la chamaillerie enfantine aux réprimandes parentales; du deil au fêtes; cela me rappelle ce que j'avais avec mes frères...,4,3,,1,,2,,,écriture sur de l'écorse de bouleau
L'hiver,Après la chaleur de l'été et la douceur de l'automne; je me dévoile dans mon habit glacial. Je reste à vos côté pendant trois mois/ avant que votre astre ne se soit enfin rapproché de la lumière pour faire fondre mon coeur de glace. Pendant ce temps; vous profitez de soirées en famille au coin du feu après avoir joué avec mon manteau blanc.,,3,,1,2,,,,Flocon de neige papier
Le roi sans divertissement,De tous je suis le plus puissant et instruit de mes paires.../ Mais à quoi bon car cela n'est rien fasse à la connaissance de ma propre condition de mortel.../ Qui viendra me sauver ? Dieu ?/ Un Homme ?/ Un esprit de la forêt ?.../  Non; ma seule issue fut une ultime balade; fumant; explosant mon humanité.,5,1;2;4;6,3;5,,1;2,6,,,Répartie dans les pages d'un livre
La divinité oubliée,,,,,,,,,,
La musique,Mais au fond; je suis la pulsation qui fait battre le coeur des Hommes.,,,,,,,,,Ecrit sur partion/intrument de musique
